fname,lname,email,address (only table 2),gender(Only Table 2),dupe?,df
Thomas,Rod,thomas.rodriguez@example.com,,,1,1
Daniel,Wilson,daniel.wilson@example.com,,,0,1
Olivia,Anderson,olivia.anderson@example.com,,,0,1
Jenny,Smith,jennifer.smit@example.com,,,1,1
John,Tellez,john.t123@example.com,,,0,1
Micheal,Davis,michael.d589@example.com,,,1,1
Liz,Smith,elizabeth.smith@example.com ,,,1,1
James,Taylor,james.taylor@example.com,,,0,1
Karry,Martinez,karen.martinez@example.com,,,1,1
Sophia,Hernandez,sophia.hernandez@example.com,,,0,1
Thomas,Rodriguez,thomas.rodriguez@example.com,"1724 Park Ave, Philadelphia, CA 50835",Male,1,2
Karen,Martinez,karen.martinez@example.com,"5500 Washington Blvd, Houston, IL 47873",Female,1,2
Nancy,Johnson,nancy.johnson@example.com,"9782 Pine Rd, Phoenix, IL 14773",Female,0,2
Richard,Davis,richard.davis@example.com ,"469 Park Ave, New York, IL 13732",Male,0,2
John,Miller,john.miller@example.com,"2043 Maple Dr, Dallas, CA 66123",Male,0,2
John,Brown,john.brown@example.com ,"2796 Hillcrest Rd, San Antonio, TX 21557",Male,0,2
Elizabeth,Smith,elizabeth.smith@example.com ,"1119 Park Ave, Los Angeles, FL 13945",Female,1,2
Michael,Davis,michael.davis@example.com,"5537 Cedar Ln, New York, CA 39499",Male,1,2
Susan,Martinez,susan.martinez@example.com ,"1073 Cedar Ln, San Jose, CA 77027",Female,0,2
Jennifer,Smith,jennifer.smith@example.com,"4728 Maple Dr, Philadelphia, TX 85927",Female,1,2
