fname,lname,email,address,gender
Thomas,Rodriguez,thomas.rodriguez@example.com,"1724 Park Ave, Philadelphia, CA 50835",Male
Karen,Martinez,karen.martinez@example.com,"5500 Washington Blvd, Houston, IL 47873",Female
Nancy,Johnson,nancy.johnson@example.com,"9782 Pine Rd, Phoenix, IL 14773",Female
Richard,Davis,richard.davis@example.com ,"469 Park Ave, New York, IL 13732",Male
John,Miller,john.miller@example.com,"2043 Maple Dr, Dallas, CA 66123",Male
John,Brown,john.brown@example.com ,"2796 Hillcrest Rd, San Antonio, TX 21557",Male
Elizabeth,Smith,elizabeth.smith@example.com ,"1119 Park Ave, Los Angeles, FL 13945",Female
Michael,Davis,michael.davis@example.com,"5537 Cedar Ln, New York, CA 39499",Male
Susan,Martinez,susan.martinez@example.com ,"1073 Cedar Ln, San Jose, CA 77027",Female
Jennifer,Smith,jennifer.smith@example.com,"4728 Maple Dr, Philadelphia, TX 85927",Female
